ID;Superkingdom;Kingdom;Subkingdom;Infrakingdom;Superphylum;Phylum;Subphylum;Infraphylum;Parvphylum;Superclass;Class;Subclass;Infraclass;Superorder;Order;Family;BHL;BOLD;EOL;GBIF;NCBI;GGBN;BHL_Percentile;BOLD_Percentile;EOL_Percentile;GBIF_Percentile;NCBI_Percentile;GGBN_Percentile;GGI score;Reference
Gemmatimonadales-Gemmatimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Gemmatimonadetes;;;;;Gemmatimonadetes;;;;Gemmatimonadales;Gemmatimonadaceae;0;0;0;0;1408;0;0;0;0;0;87;0;15;"NCBI, 2013; Garrity et al., 2007"
Lentisphaerales-Lentisphaeraceae;Prokaryota;Bacteria;Negibacteria;;;Lentisphaerae;;;;;Lentisphaeria;;;;Lentisphaerales;Lentisphaeraceae;0;0;0;0;215;0;0;0;0;0;74;0;13;"NCBI, 2013; Garrity et al., 2007"
Victivallales-Victivallaceae;Prokaryota;Bacteria;Negibacteria;;;Lentisphaerae;;;;;Lentisphaeria;;;;Victivallales;Victivallaceae;0;0;0;0;95;0;0;0;0;0;66;0;11;"NCBI, 2013; Garrity et al., 2007"
Oligosphaerales-Oligosphaeraceae;Prokaryota;Bacteria;Negibacteria;;;Lentisphaerae;;;;;Oligosphaeria;;;;Oligosphaerales;Oligosphaeraceae;0;0;0;0;2;0;0;0;0;0;30;0;5;NCBI, 2013
Nitrospirales-Nitrospiraceae;Prokaryota;Bacteria;Negibacteria;;;Nitrospira;;;;;Nitrospira;;;;Nitrospirales;Nitrospiraceae;0;0;0;0;5570;0;0;0;0;0;92;0;16;"NCBI, 2013; Garrity et al., 2007"
Phycisphaerales-Phycisphaeraceae;Prokaryota;Bacteria;Negibacteria;;;Planctomycetes;;;;;Phycisphaerae;;;;Phycisphaerales;Phycisphaeraceae;0;0;0;0;129;0;0;0;0;0;69;0;12;NCBI, 2013
Planctomycetales-Planctomycetaceae;Prokaryota;Bacteria;Negibacteria;;;Planctomycetes;;;;;Planctomycea;;;;Planctomycetales;Planctomycetaceae;0;0;0;0;13455;0;0;0;0;0;93;0;16;"NCBI, 2013; Garrity et al., 2007"
Caulobacterales-Caulobacteraceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Caulobacterales;Caulobacteraceae;0;0;1;0;12072;0;0;0;59;0;93;0;26;"NCBI, 2013; Garrity et al., 2007"
Caulobacterales-Hyphomonadaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Caulobacterales;Hyphomonadaceae;0;0;0;0;2868;0;0;0;0;0;90;0;15;Lee et al., 2005
Kiloniellales-Kiloniellaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Kiloniellales;Kiloniellaceae;0;0;0;0;129;0;0;0;0;0;69;0;12;NCBI, 2013
Kordiimonadales-Kordiimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Kordiimonadales;Kordiimonadaceae;0;0;0;0;158;0;0;0;0;0;71;0;12;"NCBI, 2013; Garrity et al., 2007"
Magnetococcales-Magnetcoccaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Magnetococcales;Magnetcoccaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;NCBI, 2013
Parvularculales-Parvularculaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Parvularculales;Parvularculaceae;0;0;0;0;163;0;0;0;0;0;72;0;12;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Aurantimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Aurantimonadaceae;0;0;0;0;1189;0;0;0;0;0;86;0;15;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Bartonellaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Bartonellaceae;0;0;0;0;13956;0;0;0;0;0;93;0;16;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Beijerinckiaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Beijerinckiaceae;0;0;0;0;1315;0;0;0;0;0;87;0;15;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Bradyrhizobiaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Bradyrhizobiaceae;0;0;0;0;84236;0;0;0;0;0;97;0;17;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Brucellaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Brucellaceae;0;0;1;0;38361;0;0;0;59;0;95;0;26;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Cohaesibacteraceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Cohaesibacteraceae;0;0;0;0;43;0;0;0;0;0;58;0;10;NCBI, 2013
Rhizobiales-Hyphomicrobiaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Hyphomicrobiaceae;0;0;0;0;4088;0;0;0;0;0;91;0;16;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Methylobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Methylobacteriaceae;0;0;0;0;16429;0;0;0;0;0;94;0;16;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Methylocystaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Methylocystaceae;0;0;0;0;2706;0;0;0;0;0;90;0;15;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Phyllobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Phyllobacteriaceae;0;0;0;0;26284;0;0;0;0;0;95;0;16;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Rhizobiaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Rhizobiaceae;0;0;1;0;102089;0;0;0;59;0;98;0;26;"NCBI, 2013; Garrity et al., 2007"
Rhizobiales-Rhodobiaceae;Prokaryota;Bacteria;Negibacteria;;;Proteobacteria;;;;;Alphaproteobacteria;;;;Rhizobiales;Rhodobiaceae;0;0;0;0;626;0;0;0;0;0;83;0;14;"NCBI, 2013; Garrity et al., 2007"
